1.024 1.005 0.977 0.902 0.982 0.976
0.99  0.932 0.996 0.973 1.005 0.985
1.014 0.934 0.997 0.897 0.995 0.963
0.99  0.977 1 0.991 0.999 0.995
1.007 0.995 0.999 0.976 0.998 0.984
1.008 0.995 1.006 0.983 1.001 0.98
1.001 0.955 1.001 0.953 1 0.953
1.005 0.97  0.997 0.953 0.997 0.976
