1.047 1.054 1.064 1 1.14
1.082 1.075 1.076 1.00496 1.127
1.02  0.99  0.98  1.01854 1.125
1 1.054 1 1 1.1
1.053 0.771 0.946 1.00162 1.042
1.068 1.057 1.054 1.00777 1.09
1.009 1.017 1.015 1.00038 1.041
1.046 0.997 1.021 1.00473 1.094
